,sam_vit_b_01ec64.pth,sam_vit_l_0b3195.pth,sam_vit_h_4b8939.pth
sam_vit_b_01ec64.pth,,9.246950065339849e-07,4.637413464744331e-15
sam_vit_l_0b3195.pth,9.246950065339849e-07,,1.5756891114749603e-12
sam_vit_h_4b8939.pth,4.637413464744331e-15,1.5756891114749603e-12,
