,sam2_hiera_tiny.pt,sam2_hiera_small.pt,sam2_hiera_base_plus.pt,sam2_hiera_large.pt,sam2.1_hiera_tiny.pt,sam2.1_hiera_small.pt,sam2.1_hiera_base_plus.pt,sam2.1_hiera_large.pt
sam2_hiera_tiny.pt,,0.009492845558999206,0.010724847817473607,1.3847764415717074e-05,0.025413774678090913,0.003650393896564424,0.024709583981017618,1.047064544584693e-05
sam2_hiera_small.pt,0.009492845558999206,,0.2581440271951296,1.0397702065555904e-08,1.3668411042002824e-07,5.493124868089567e-07,1.100021095026905e-09,1.0499889128611184e-08
sam2_hiera_base_plus.pt,0.010724847817473607,0.2581440271951296,,9.042859887474795e-09,5.138262273700621e-08,9.188422195844633e-09,5.1850016360503866e-14,8.602142986007779e-09
sam2_hiera_large.pt,1.3847764415717074e-05,1.0397702065555904e-08,9.042859887474795e-09,,2.0054525116855296e-08,5.2867376879160315e-09,1.9136607175095827e-08,0.6931585270196038
sam2.1_hiera_tiny.pt,0.025413774678090913,1.3668411042002824e-07,5.138262273700621e-08,2.0054525116855296e-08,,1.1394010277032633e-18,0.3332156665647291,1.8144441681802457e-08
sam2.1_hiera_small.pt,0.003650393896564424,5.493124868089567e-07,9.188422195844633e-09,5.2867376879160315e-09,1.1394010277032633e-18,,1.3445208147104888e-18,5.359511889491986e-09
sam2.1_hiera_base_plus.pt,0.024709583981017618,1.100021095026905e-09,5.1850016360503866e-14,1.9136607175095827e-08,0.3332156665647291,1.3445208147104888e-18,,1.763435727368528e-08
sam2.1_hiera_large.pt,1.047064544584693e-05,1.0499889128611184e-08,8.602142986007779e-09,0.6931585270196038,1.8144441681802457e-08,5.359511889491986e-09,1.763435727368528e-08,
