,sam2_hiera_tiny.pt,sam2_hiera_small.pt,sam2_hiera_base_plus.pt,sam2_hiera_large.pt,sam2.1_hiera_tiny.pt,sam2.1_hiera_small.pt,sam2.1_hiera_base_plus.pt,sam2.1_hiera_large.pt
sam2_hiera_tiny.pt,,0.003572925689642372,0.004385604080672093,2.2816382380039975e-05,0.01866032859367335,0.0006407854667753635,0.017911815409060127,1.7833889373158463e-05
sam2_hiera_small.pt,0.003572925689642372,,0.28203572898836105,1.1844971017606794e-08,3.058353284025441e-08,1.965842385991816e-07,2.380081361682132e-10,1.2229865667179992e-08
sam2_hiera_base_plus.pt,0.004385604080672093,0.28203572898836105,,9.595690558673689e-09,2.7216499844316526e-08,7.661716116298244e-09,8.535068925642416e-15,9.07732717729539e-09
sam2_hiera_large.pt,2.2816382380039975e-05,1.1844971017606794e-08,9.595690558673689e-09,,3.292077498303142e-08,4.028057114599152e-09,3.118390568233817e-08,0.7151914832027564
sam2.1_hiera_tiny.pt,0.01866032859367335,3.058353284025441e-08,2.7216499844316526e-08,3.292077498303142e-08,,1.0021130096460246e-19,0.3390884178482192,2.9555243076389495e-08
sam2.1_hiera_small.pt,0.0006407854667753635,1.965842385991816e-07,7.661716116298244e-09,4.028057114599152e-09,1.0021130096460246e-19,,2.393661929215775e-19,4.212011322703145e-09
sam2.1_hiera_base_plus.pt,0.017911815409060127,2.380081361682132e-10,8.535068925642416e-15,3.118390568233817e-08,0.3390884178482192,2.393661929215775e-19,,2.8401706751068717e-08
sam2.1_hiera_large.pt,1.7833889373158463e-05,1.2229865667179992e-08,9.07732717729539e-09,0.7151914832027564,2.9555243076389495e-08,4.212011322703145e-09,2.8401706751068717e-08,
