"backbone","letter"
"sam_vit_b_01ec64.pth","abc"
"sam_vit_l_0b3195.pth","a"
"sam_vit_h_4b8939.pth","bcd"
"sam2_hiera_tiny.pt","fg"
"sam2.1_hiera_tiny.pt","g"
"sam2_hiera_small.pt","efg"
"sam2.1_hiera_small.pt","cde"
"sam2_hiera_base_plus.pt","de"
"sam2.1_hiera_base_plus.pt","def"
"sam2_hiera_large.pt","efg"
"sam2.1_hiera_large.pt","ab"
