"backbone","letter"
"sam_vit_b_01ec64.pth","c"
"sam_vit_l_0b3195.pth","b"
"sam_vit_h_4b8939.pth","a"
NA,NA
"sam2.1_hiera_tiny.pt","f"
"sam2_hiera_small.pt","e"
"sam2.1_hiera_small.pt","d"
"sam2_hiera_base_plus.pt","e"
"sam2.1_hiera_base_plus.pt","f"
NA,NA
NA,NA
