user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter,ds_per_mask_poly
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1532,0,129,0,0,0,93,0,222,0,7,0,0,0,90,0,97,90,7,0,15.793814432989691,4_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,1405.0,127.0,,,15.611111,18.142857,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,1604,123,0,2,0,0,0,0,125,95,0,2,0,0,0,0,97,0,95,2,16.536082474226806,4_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,1205.0,,,,12.684211,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,2304,0,135,0,5,0,0,0,140,0,91,0,5,0,0,0,96,0,91,5,24.0,4_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,1673.0,631.0,,,18.384615,126.2,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223493024_low_256_annots_structured_sam2_indicated_annots_polygon,39320223493024,256,polygon,True,556,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,185.33333333333334,4_39320223493024,polygon_1,polygon_1_39320223493024,39320223493024_256,,,,,,,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2688_annots_structured_sam1,39320223525022,2688,sam1,False,2333,97,0,4,0,0,0,67,168,32,0,4,0,0,0,38,74,38,32,4,31.527027027027028,4_39320223525022,sam1_2,sam1_2_39320223525022,39320223525022_2688,1283.0,598.0,452.0,,33.763157,18.6875,113.0,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,3419,0,108,0,4,0,67,0,179,0,4,0,4,0,63,0,71,63,4,4,48.15492957746479,4_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,1421.0,68.0,1930.0,,22.555555,17.0,482.5,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,943,94,0,0,0,0,0,0,94,68,0,0,0,0,0,0,68,0,68,0,13.867647058823529,4_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,943.0,,,,13.867647,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,3239,0,109,0,2,0,0,0,111,0,67,0,2,0,0,0,69,0,67,2,46.94202898550725,4_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,2549.0,,,,38.044777,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2752_annots_structured_sam2_indicated_annots_polygon,39320223525022,2752,polygon,True,491,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,163.66666666666666,4_39320223525022,polygon_1,polygon_1_39320223525022,39320223525022_2752,,,,,,,,
4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39420224413028_low_1856_annots_structured_sam1,39420224413028,1856,sam1,False,3972,140,0,3,0,0,0,124,267,84,0,3,0,0,0,30,117,30,84,3,33.94871794871795,4_39420224413028,sam1_2,sam1_2_39420224413028,39420224413028_1856,2436.0,907.0,629.0,,81.2,10.797619,209.66667,
