,user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter
113,16,30,Male,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_16\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1772,0,109,0,1,0,0,0,110,0,68,0,1,0,0,0,69,0,68,1,25.681159420289855,16_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1000.0,,,
122,17,28,Male,8,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_17\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,1395,123,0,3,0,0,0,0,126,87,0,3,0,0,0,0,90,0,87,3,15.5,17_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,,,1395.0,,,
132,17,28,Male,8,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_17\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,878,154,0,0,0,0,0,0,154,123,0,0,0,0,0,0,123,0,123,0,7.138211382113822,17_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,,,1395.0,,,
138,4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,2304,0,135,0,5,0,0,0,140,0,91,0,5,0,0,0,96,0,91,5,24.0,4_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,,,1002.0,,,
143,4,22,Female,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_4\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,3239,0,109,0,2,0,0,0,111,0,67,0,2,0,0,0,69,0,67,2,46.94202898550725,4_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1002.0,,,
151,5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,687,0,129,0,0,0,94,0,223,0,3,0,0,0,94,0,97,94,3,0,7.082474226804123,5_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
156,5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,869,0,108,0,1,0,67,0,176,0,4,0,1,0,66,0,71,66,4,1,12.23943661971831,5_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,,,,1.0,,,
158,5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1819,0,109,0,5,0,0,0,114,0,67,0,5,0,0,0,72,0,67,5,25.26388888888889,5_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1004.0,,,
162,5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,1848,154,0,0,0,0,0,0,154,124,0,0,0,0,0,0,124,0,124,0,14.903225806451612,5_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,,,2212.0,,,
166,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1344,0,129,0,5,0,85,0,219,0,0,0,5,0,81,0,86,81,0,5,15.627906976744185,6_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
168,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,2481,0,135,0,7,0,0,0,142,0,83,0,6,0,0,0,89,0,83,6,27.876404494382022,6_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,,,1000.0,,,
171,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,1992,0,108,0,3,0,65,0,176,0,3,0,3,0,63,0,69,63,3,3,28.869565217391305,6_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,,,,1.0,,,
172,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,1090,95,0,0,0,0,0,0,95,60,0,0,0,0,0,0,60,0,60,0,18.166666666666668,6_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,,,2493.0,,,
173,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,2061,0,109,0,5,0,0,0,114,0,62,0,5,0,0,0,67,0,62,5,30.761194029850746,6_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1000.0,,,
177,6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,2191,154,0,0,0,0,0,0,154,122,0,0,0,0,0,0,122,0,122,0,17.959016393442624,6_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,,,2493.0,,,
181,7,23,Female,1,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_7\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,724,0,129,0,0,0,88,0,217,0,9,0,0,0,86,0,95,86,9,0,7.621052631578947,7_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
183,7,23,Female,1,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_7\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,1333,0,135,0,2,0,0,0,137,0,89,0,2,0,0,0,91,0,89,2,14.648351648351648,7_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,,,1004.0,,,
188,7,23,Female,1,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_7\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1190,0,109,0,2,0,0,0,111,0,62,0,2,0,0,0,64,0,62,2,18.59375,7_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,,,1004.0,,,
210,9,26,Male,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_9\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,2069,120,0,2,0,0,0,73,195,49,0,2,0,0,0,42,93,42,49,2,22.247311827956988,9_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,,,,2069.0,,,
211,9,26,Male,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_9\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1140,0,129,0,0,0,90,0,219,0,13,0,0,0,83,0,96,83,13,0,11.875,9_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,,,,1.0,,,
221,9,26,Male,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_9\39420224413028_low_1856_annots_structured_sam2,39420224413028,1856,sam2,False,1,0,166,0,0,0,119,0,285,0,0,0,0,0,118,0,118,118,0,0,0.00847457627118644,9_39420224413028,sam2_2,sam2_2_39420224413028,39420224413028_1856,,,,1.0,,,
