recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,f_beta,error,settings
0.8888888888888888,0.7761194029850746,134,117,104,30,13,0.962264120578766,0.0239109955728054,Exp32,Exp32/39320223122023_low_1152, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8637873537847269,,default
0.95,0.672566371681416,113,80,76,37,4,0.9683299660682678,0.0242006778717041,Exp32,Exp32/39320223138024_low_3136, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.877598128316862,,default
0.9145299145299144,0.7328767123287672,146,117,107,39,10,0.9653334617614746,0.0207657720893621,Exp32,Exp32/39320223142021_low_256, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8713354822305812,,default
0.8602941176470589,0.7452229299363057,157,136,117,40,19,0.9679413437843324,0.0160412117838859,Exp32,Exp32/39320223196024_low_640, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8345220895439778,,default
0.987012987012987,0.6440677966101694,118,77,76,42,1,0.9691508412361144,0.0209690202027559,Exp32,Exp32/39420224028024_low_1792, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8920187543091105,,default
0.8809523809523809,0.6666666666666666,111,84,74,37,10,0.9667254090309144,0.0260713752359151,Exp32,Exp32/39420224217022_low_2368, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8277404688377406,,default
0.9464285714285714,0.726027397260274,146,112,106,40,6,0.9706708788871764,0.014833215624094,Exp32,Exp32/39420224317029_low_2368, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8922558690836543,,default
0.8934426229508197,0.8384615384615385,130,122,109,21,13,0.9656174182891846,0.0200155805796384,Exp32,Exp32/39420224387022_low_0, SAM 1 vit h,32,128,0.88,0.95,1.0,0.7,0,0.7,1,0.8818770018904288,,default
0.059322033898305,1.0,7,118,7,0,111,0.9359267354011536,0.0160083267837762,Exp32,Exp32/39320223018029_low_1152,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0730688917281566,,default
0.0,0.0,1,133,0,1,133,,,Exp32,Exp32/39320223069021_low_1472,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0,,default
0.017094017094017,0.5,4,117,2,2,115,0.854080319404602,0.0487677380442619,Exp32,Exp32/39320223122023_low_1152,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0211864396276213,,default
0.0875,0.7777777777777778,9,80,7,2,73,0.9042059779167176,0.0480460934340953,Exp32,Exp32/39320223138024_low_3136,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.1063829753974927,,default
0.0854700854700854,0.8333333333333334,12,117,10,2,107,0.9338215589523317,0.0125982519239187,Exp32,Exp32/39320223142021_low_256,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.1041666636197916,,default
0.0294117647058823,0.6666666666666666,6,136,4,2,132,0.9074094891548156,0.0282725747674703,Exp32,Exp32/39320223196024_low_640,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.036363635014876,,default
0.0779220779220779,0.8571428571428571,7,77,6,1,71,0.926818549633026,0.0163508057594299,Exp32,Exp32/39420224028024_low_1792,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0952380925220459,,default
0.0,0.0,2,84,0,2,84,,,Exp32,Exp32/39420224217022_low_2368,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0,,default
0.0446428571428571,1.0,5,112,5,0,107,0.915671706199646,0.0211518369615077,Exp32,Exp32/39420224317029_low_2368,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0551876366046323,,default
0.0,0.0,0,122,0,0,122,0.0,0.0,Exp32,Exp32/39420224387022_low_0,SAM 2.1 small,32,128,0.8,0.95,1.0,0.7,0,0.7,1,0.0,,default
