points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor,recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,f_beta
32,128,0.72,0.92,0.7,0.7,0,0.7,1,0.9385120160980543,0.49466841733043526,206.1,109.6,102.6,103.5,7.0,0.9638581991195678,0.02590408492833371,0.7941943578029631
32,128,0.72,0.92,0.7,0.7,0,0.7,2,0.9385120160980543,0.49466841733043526,206.1,109.6,102.6,103.5,7.0,0.9638581991195678,0.02590408492833371,0.7941943578029631
32,128,0.72,0.92,0.7,0.7,0,0.7,4,0.9385120160980543,0.49466841733043526,206.1,109.6,102.6,103.5,7.0,0.9638581991195678,0.02590408492833371,0.7941943578029631
32,128,0.72,0.92,0.7,0.7,1,0.7,1,0.9713431360828848,0.3662883000411124,290.6,109.6,106.7,183.9,2.9,0.9570614695549011,0.028303594514727547,0.7279800170661275
32,128,0.72,0.92,0.7,0.7,1,0.7,2,0.9650367350759648,0.4170411998902649,252.6,109.6,105.9,146.7,3.7,0.9571934044361115,0.02871140521019692,0.7621193558834807
32,128,0.72,0.92,0.7,0.7,1,0.7,4,0.9449823019365665,0.45492777206905766,226.0,109.6,103.4,122.6,6.2,0.9606954395771027,0.027533894777297917,0.7757494228571009
32,128,0.72,0.92,0.7,0.7,2,0.7,1,0.9621815276618533,0.3146007135793413,335.4,109.6,105.6,229.8,4.0,0.955969113111496,0.02946745064109559,0.6790174194792322
32,128,0.72,0.92,0.7,0.7,2,0.7,2,0.9591923972080773,0.3895591770572728,269.3,109.6,105.2,164.1,4.4,0.9564276754856109,0.029376452602446028,0.7396081046721218
32,128,0.72,0.92,0.7,0.7,2,0.7,4,0.9492920529786506,0.4489025372769332,230.3,109.6,103.9,126.4,5.7,0.9600692331790924,0.0277595434337854,0.7744914153936797
32,128,0.72,0.92,1.0,0.7,0,0.7,1,0.9324889066597806,0.5498899547745022,184.1,109.6,101.9,82.2,7.7,0.9643776476383209,0.02503564245998855,0.8164214078187728
32,128,0.72,0.92,1.0,0.7,0,0.7,2,0.9324889066597806,0.5498899547745022,184.1,109.6,101.9,82.2,7.7,0.9643776476383209,0.02503564245998855,0.8164214078187728
32,128,0.72,0.92,1.0,0.7,0,0.7,4,0.9324889066597806,0.5498899547745022,184.1,109.6,101.9,82.2,7.7,0.9643776476383209,0.02503564245998855,0.8164214078187728
