,sam2_hiera_tiny.pt,sam2_hiera_small.pt,sam2_hiera_base_plus.pt,sam2_hiera_large.pt,sam2.1_hiera_tiny.pt,sam2.1_hiera_small.pt,sam2.1_hiera_base_plus.pt,sam2.1_hiera_large.pt
sam2_hiera_tiny.pt,,0.003237907062915538,0.004050224486229027,1.1676694038356332e-05,0.017482911317344363,0.0005794252714933306,0.016963264231904043,1.3138925642348547e-05
sam2_hiera_small.pt,0.003237907062915538,,0.2589835957388847,8.143504248078468e-09,1.3893652803085673e-07,5.422932232794402e-07,1.0951488510110917e-09,1.0391759843495047e-08
sam2_hiera_base_plus.pt,0.004050224486229027,0.2589835957388847,,6.952327562652589e-09,5.3930269100041576e-08,8.859827706610491e-09,5.756705492332208e-14,8.05241070691641e-09
sam2_hiera_large.pt,1.1676694038356332e-05,8.143504248078468e-09,6.952327562652589e-09,,2.2192674432166752e-08,2.996949974765361e-09,2.1252435829576806e-08,0.9948747777784589
sam2.1_hiera_tiny.pt,0.017482911317344363,1.3893652803085673e-07,5.3930269100041576e-08,2.2192674432166752e-08,,1.1300026038396683e-18,0.33368804407928554,2.502278814103378e-08
sam2.1_hiera_small.pt,0.0005794252714933306,5.422932232794402e-07,8.859827706610491e-09,2.996949974765361e-09,1.1300026038396683e-18,,1.2772445462536582e-18,3.754616335595628e-09
sam2.1_hiera_base_plus.pt,0.016963264231904043,1.0951488510110917e-09,5.756705492332208e-14,2.1252435829576806e-08,0.33368804407928554,1.2772445462536582e-18,,2.4317602829397667e-08
sam2.1_hiera_large.pt,1.3138925642348547e-05,1.0391759843495047e-08,8.05241070691641e-09,0.9948747777784589,2.502278814103378e-08,3.754616335595628e-09,2.4317602829397667e-08,
