,sam_vit_b_01ec64.pth,sam_vit_l_0b3195.pth,sam_vit_h_4b8939.pth
sam_vit_b_01ec64.pth,,8.971409148519573e-07,4.691506081727565e-15
sam_vit_l_0b3195.pth,8.971409148519573e-07,,1.5753308478739849e-12
sam_vit_h_4b8939.pth,4.691506081727565e-15,1.5753308478739849e-12,
