recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor
0.9745762711864406,0.3709677419354839,310,118,115,195,3,0.955606997013092,0.03518824279308319,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.92,1.3,0.7,2,0.7,1
0.9491525423728814,0.47257383966244726,237,118,112,125,6,0.9572571516036987,0.03503216803073883,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.92,1.3,0.7,2,0.7,2
0.940677966101695,0.5362318840579711,207,118,111,96,7,0.9604993462562561,0.028605269268155098,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.92,1.3,0.7,2,0.7,4
0.9067796610169492,0.5783783783783784,185,118,107,78,11,0.9609403014183044,0.02701350674033165,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,0,0.7,1
0.9067796610169492,0.5783783783783784,185,118,107,78,11,0.9609403014183044,0.02701350674033165,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,0,0.7,2
0.9067796610169492,0.5783783783783784,185,118,107,78,11,0.9609403014183044,0.02701350674033165,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,0,0.7,4
0.9745762711864406,0.40069686411149824,287,118,115,172,3,0.9577046036720276,0.032112643122673035,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,1,0.7,1
0.9491525423728814,0.4765957446808511,235,118,112,123,6,0.9569348096847534,0.035444606095552444,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,1,0.7,2
0.9322033898305084,0.5238095238095238,210,118,110,100,8,0.9602177143096924,0.028810372576117516,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,1,0.7,4
0.9745762711864406,0.3392330383480826,339,118,115,224,3,0.9553385972976685,0.03601546213030815,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,2,0.7,1
0.9491525423728814,0.4392156862745098,255,118,112,143,6,0.9572571516036987,0.03503216803073883,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,2,0.7,2
0.940677966101695,0.5045454545454545,220,118,111,109,7,0.9605470299720764,0.02851283922791481,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,0.7,0.7,2,0.7,4
0.9067796610169492,0.6772151898734177,158,118,107,51,11,0.9609357118606567,0.02702251635491848,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,1.0,0.7,0,0.7,1
0.9067796610169492,0.6772151898734177,158,118,107,51,11,0.9609357118606567,0.02702251635491848,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,1.0,0.7,0,0.7,2
0.9067796610169492,0.6772151898734177,158,118,107,51,11,0.9609357118606567,0.02702251635491848,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,1.0,0.7,0,0.7,4
0.9745762711864406,0.4791666666666667,240,118,115,125,3,0.9577046036720276,0.032112643122673035,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,1.0,0.7,1,0.7,1
0.9491525423728814,0.5685279187817259,197,118,112,85,6,0.957046627998352,0.03515525907278061,Exp32,Exp32/39320223018029_low_1152,sam_vit_h_4b8939.pth,32,128,0.72,0.95,1.0,0.7,1,0.7,2
