recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,error,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor
0.5735294117647058,0.6724137931034483,116,136,78,38,58,0.8817950487136841,0.03463278338313103,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,1
0.5735294117647058,0.6724137931034483,116,136,78,38,58,0.8817950487136841,0.03463278338313103,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,2
0.5735294117647058,0.6724137931034483,116,136,78,38,58,0.8817950487136841,0.03463278338313103,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,4
0.8676470588235294,0.686046511627907,172,136,118,54,18,0.9167250394821167,0.03017876110970974,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,1
0.7867647058823529,0.722972972972973,148,136,107,41,29,0.9112469553947449,0.03604072332382202,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,2
0.6911764705882353,0.7121212121212122,132,136,94,38,42,0.898033618927002,0.039396755397319794,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,4
0.875,0.6363636363636364,187,136,119,68,17,0.9128831624984741,0.03207561746239662,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,1
0.7941176470588235,0.7012987012987013,154,136,108,46,28,0.911117434501648,0.035256847739219666,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,2
0.7132352941176471,0.7132352941176471,136,136,97,39,39,0.8982645273208618,0.039194151759147644,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,4
0.2867647058823529,0.78,50,136,39,11,97,0.8940100073814392,0.032696839421987534,,Exp32,Exp32/39320223196024_low_640,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,0,0.7,1
