recall,precision,predictions,ground_truth,TP,FP,FN,mean_iou_of_tp,std_iou_of_tp,error,Dataset,img_dir,model,points_per_side,points_per_batch,pred_iou_thresh,stability_score_thresh,stability_score_offset,box_nms_thresh,crop_n_layers,crop_nms_thresh,crop_n_points_downscale_factor
0.319672131147541,0.7647058823529411,51,122,39,12,83,0.8866795301437378,0.03296603634953499,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,1
0.319672131147541,0.7647058823529411,51,122,39,12,83,0.8866795301437378,0.03296603634953499,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,2
0.319672131147541,0.7647058823529411,51,122,39,12,83,0.8866795301437378,0.03296603634953499,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,0,0.7,4
0.7295081967213115,0.7672413793103449,116,122,89,27,33,0.8995426297187805,0.0355413518846035,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,1
0.5983606557377049,0.7934782608695652,92,122,73,19,49,0.9004558324813843,0.034140679985284805,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,2
0.4918032786885246,0.8333333333333334,72,122,60,12,62,0.8996999859809875,0.03616820648312569,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,1,0.7,4
0.7295081967213115,0.7416666666666667,120,122,89,31,33,0.897846519947052,0.03629063442349434,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,1
0.6147540983606558,0.78125,96,122,75,21,47,0.9004785418510437,0.035537995398044586,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,2
0.5,0.8243243243243243,74,122,61,13,61,0.8998076915740967,0.03587539121508598,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,0.7,0.7,2,0.7,4
0.07377049180327869,0.6923076923076923,13,122,9,4,113,0.898513913154602,0.026230499148368835,,Exp32,Exp32/39420224387022_low_0,sam2.1_hiera_small.pt,32,128,0.72,0.92,1.0,0.7,0,0.7,1
