Dice per mask,Gdice per mask,IoU per mask,Mask N,Sam generation,Weights path,Dataset
0.9838171005249023,0.9685108065605164,0.9686226844787598,40,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9680801630020142,0.9365972280502319,0.9399670958518982,41,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9662656784057617,0.9327313303947449,0.9367837905883789,42,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9808536171913147,0.9628441333770752,0.963079571723938,43,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9487833976745605,0.8983124494552612,0.9070231914520264,44,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.952963650226593,0.9065197110176086,0.9139695167541504,45,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9621129035949707,0.9244132041931152,0.9295510053634644,46,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9808695316314697,0.9621226191520691,0.9631355404853821,47,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9681216478347778,0.937254011631012,0.9400092363357544,48,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9798241257667542,0.9600342512130737,0.961199164390564,49,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.966494083404541,0.9339499473571777,0.9371414184570312,50,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9761656522750854,0.9533741474151611,0.9544554948806763,51,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9607247114181519,0.9217812418937683,0.9271482229232788,52,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9563997983932495,0.9138472676277161,0.9197195768356323,53,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9533641338348389,0.9073827862739563,0.9146311283111572,54,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9810508489608765,0.9624516367912292,0.9634733200073242,55,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9590182900428772,0.9187068939208984,0.9242006540298462,56,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9505959749221802,0.9014880657196045,0.9100528955459595,57,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9608892202377319,0.9220287799835205,0.9274369478225708,58,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9787611365318298,0.9576297402381897,0.9592489004135132,59,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9695205688476562,0.9392839074134827,0.9425300359725952,60,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9794590473175049,0.9592955708503723,0.9605246186256409,61,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9778003692626953,0.956246554851532,0.9574620127677917,62,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
0.9751564264297485,0.9504420161247253,0.952659010887146,63,1,sam_vit_b_01ec64.pth,ExperimentData/BackboneExperimentData/Soil
